ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-17,-40189.65294542885,-41355.50214598054,-38747.8583214403,-40189.65294542885,-40189.65294542885,147.5991339671339,147.5991339671339,147.5991339671339,147.5991339671339,147.5991339671339,147.5991339671339,0.0,0.0,0.0,-40042.053811461716
2024-06-18,-40123.721639883035,-41425.44924974342,-38841.777717868084,-40123.721639883035,-40123.721639883035,-25.7480179881316,-25.7480179881316,-25.7480179881316,-25.7480179881316,-25.7480179881316,-25.7480179881316,0.0,0.0,0.0,-40149.46965787117
2024-06-19,-40057.79033433722,-41279.320450110026,-38826.40635108056,-40057.79033433722,-40057.79033433722,-0.29311021006413185,-0.29311021006413185,-0.29311021006413185,-0.29311021006413185,-0.29311021006413185,-0.29311021006413185,0.0,0.0,0.0,-40058.08344454729
2024-06-20,-39991.85902879141,-41269.69516693152,-38675.965236801705,-39991.85902879141,-39991.85902879141,-8.290372775124403,-8.290372775124403,-8.290372775124403,-8.290372775124403,-8.290372775124403,-8.290372775124403,0.0,0.0,0.0,-40000.14940156654
2024-06-21,-39925.9277232456,-41190.62705699958,-38573.481073246294,-39925.9277232456,-39925.9277232456,83.46607333723327,83.46607333723327,83.46607333723327,83.46607333723327,83.46607333723327,83.46607333723327,0.0,0.0,0.0,-39842.461649908364
2024-06-24,-39728.13380660817,-40887.81675367075,-38312.11516530568,-39728.13380660817,-39728.13380660817,147.5991339672405,147.5991339672405,147.5991339672405,147.5991339672405,147.5991339672405,147.5991339672405,0.0,0.0,0.0,-39580.53467264093
2024-06-25,-39662.20250021897,-40948.51598006221,-38424.168124296295,-39662.20250021897,-39662.20250021897,-25.748017988694865,-25.748017988694865,-25.748017988694865,-25.748017988694865,-25.748017988694865,-25.748017988694865,0.0,0.0,0.0,-39687.95051820766
2024-06-26,-39596.271193829765,-40977.89284730033,-38321.77476804514,-39596.271193829765,-39596.271193829765,-0.2931102094217003,-0.2931102094217003,-0.2931102094217003,-0.2931102094217003,-0.2931102094217003,-0.2931102094217003,0.0,0.0,0.0,-39596.56430403919
2024-06-27,-39530.33988744057,-40864.61535856153,-38183.37188843878,-39530.33988744057,-39530.33988744057,-8.29037277371044,-8.29037277371044,-8.29037277371044,-8.29037277371044,-8.29037277371044,-8.29037277371044,0.0,0.0,0.0,-39538.63026021428
2024-06-28,-39464.40858105136,-40609.95955987058,-38086.05542853667,-39464.40858105136,-39464.40858105136,83.4660733370341,83.4660733370341,83.4660733370341,83.4660733370341,83.4660733370341,83.4660733370341,0.0,0.0,0.0,-39380.942507714324
2024-06-29,-39398.47727466216,-40560.23181377631,-37974.23201435738,-39398.47727466216,-39398.47727466216,102.07758814188578,102.07758814188578,102.07758814188578,102.07758814188578,102.07758814188578,102.07758814188578,0.0,0.0,0.0,-39296.39968652027
2024-07-01,-39266.61466188375,-40380.21027715335,-37855.9302397599,-39266.61466188375,-39266.61466188375,147.59913396757392,147.59913396757392,147.59913396757392,147.59913396757392,147.59913396757392,147.59913396757392,0.0,0.0,0.0,-39119.01552791618
2024-07-02,-39200.68335549454,-40483.84210570784,-37952.31163916258,-39200.68335549454,-39200.68335549454,-25.748017988614794,-25.748017988614794,-25.748017988614794,-25.748017988614794,-25.748017988614794,-25.748017988614794,0.0,0.0,0.0,-39226.43137348315
2024-07-03,-39134.752048078335,-40474.429007451174,-37950.70279229033,-39134.752048078335,-39134.752048078335,-0.29311020877927757,-0.29311020877927757,-0.29311020877927757,-0.29311020877927757,-0.29311020877927757,-0.29311020877927757,0.0,0.0,0.0,-39135.04515828712
2024-07-04,-39068.82074066212,-40432.96782013944,-37829.94419919855,-39068.82074066212,-39068.82074066212,-8.290372775146679,-8.290372775146679,-8.290372775146679,-8.290372775146679,-8.290372775146679,-8.290372775146679,0.0,0.0,0.0,-39077.11111343727
